"","Language","GB257","GB260","GB262","GB263","GB264","GB285","GB286","GB291","GB297","Marking","Particles","Position","Latitude","Longitude"
"60","amah1246","0","0","0","0","0","0","0","0","0","NoQuestionMarking","No particle","No particle",-10.2012,-72.3208
"61","amam1246","0","0","0","1","0","0","0","0","0","ParticleOnly","Particle","Final",-7.9,146.92
"62","amap1240","?","?","?","?","?","?","?","?","?","UnknownQuestionMarking","No particle","No particle",-4.20192,141.658
"63","amar1272","1","0","0","0","0","0","0","0","0","IntonationOnly","No particle","No particle",-5.55778,148.68
"64","amar1274","?","0","0","0","0","0","1","0","?","MorphOnly","No particle","No particle",-12.4931,-70.5533
"65","amas1236","1","0","0","0","0","0","0","0","0","IntonationOnly","No particle","No particle",12.0993,29.4332
"66","ambo1250","1","0","0","1","0","0","0","0","0","MultipleStrategies","Particle","Final",-3.71342,128.184
"67","amdo1237","0","0","0","0","0","0","1","0","0","MorphOnly","No particle","No particle",34.5177,100.485
"68","amha1245","1","0","0","1","0","?","?","0","?","MultipleStrategies","Particle","Final",11.708182,39.543456
"69","amii1238","?","?","?","?","0","0","0","0","0","UnknownQuestionMarking","No particle","No particle",-13.5573,130.04
"70","amis1246","?","?","?","?","?","?","?","?","?","UnknownQuestionMarking","No particle","No particle",23.0917,121.348
"71","amri1238","1","0","0","1","0","0","0","0","0","MultipleStrategies","Particle","Final",26.024,91.482
"72","anci1242","0","0","1","0","0","0","0","0","0","ParticleOnly","Particle","Initial",39.8155,21.9129
"73","anci1244","0","0","1","0","0","0","0","0","0","ParticleOnly","Particle","Initial",31.7761,35.1725
"74","ando1256","0","0","?","?","?","?","0","?","?","UnknownQuestionMarking","No particle","No particle",-0.53751,-72.0869
"75","anei1239","1","0","0","1","0","0","0","0","0","MultipleStrategies","Particle","Final",-20.1864,169.825
"76","anfi1235","?","?","?","?","?","?","?","?","?","UnknownQuestionMarking","No particle","No particle",8.568,34.647
"77","anga1288","0","0","0","1","0","0","0","0","0","ParticleOnly","Particle","Final",25.6841,93.8668
"78","anga1290","0","0","0","0","0","0","1","0","0","MorphOnly","No particle","No particle",-7.15012,146.352
"79","ango1257","0","0","0","0","0","0","1","0","0","MorphOnly","No particle","No particle",6.54198,-71.9212
"80","anta1255","0","0","0","0","1","0","1","0","?","MultipleStrategies","Particle","Other",-13.2164,49.2402
"81","anuf1239","?","0","0","?","0","0","0","?","0","UnknownQuestionMarking","No particle","No particle",10.2839,0.56021
"82","anut1237","1","?","?","?","?","?","?","0","?","IntonationOnly","No particle","No particle",-11.61,169.85
"83","anuu1241","0","0","0","1","0","0","0","0","0","ParticleOnly","Particle","Final",21.5,93.05
"84","aona1235","0","0","0","1","0","0","0","0","1","MultipleStrategies","Particle","Final",26.3241,94.3824
"85","aoua1234","1","0","0","1","0","0","0","0","1","MultipleStrategies","Particle","Final",26.8,105.85
"86","apat1240","0","0","0","1","0","0","0","0","0","ParticleOnly","Particle","Final",27.1933,93.7284
"87","apin1244","1","0","1","0","0","0","0","0","0","MultipleStrategies","Particle","Initial",-6.10774,-47.6315
"88","apma1240","1","0","0","0","0","0","0","0","0","IntonationOnly","No particle","No particle",-15.8559,168.189
"89","apma1241","?","?","?","?","?","?","1","0","?","MorphOnly","No particle","No particle",-4.35147,144.085
"90","apur1254","1","0","0","0","0","0","0","0","0","IntonationOnly","No particle","No particle",-8.21692,-66.7714
"91","arab1267","?","?","?","?","?","?","?","?","?","UnknownQuestionMarking","No particle","No particle",-28.705,135.449
"92","arak1252","1","0","0","1","0","0","0","0","0","MultipleStrategies","Particle","Final",-15.632997,166.952542
"93","arao1248","0","0","0","0","0","0","1","0","0","MorphOnly","No particle","No particle",-12.4242,-67.7293
"94","arap1274","?","0","0","0","0","0","0","0","0","UnknownQuestionMarking","No particle","No particle",43.3879,-108.81
"95","araw1273","0","0","0","0","1","0","0","0","0","ParticleOnly","Particle","Other",-4.90246,-52.5001
"96","araw1276","1","0","0","0","0","0","0","0","0","IntonationOnly","No particle","No particle",5.64295,-56.9243
"97","arbo1245","1","0","0","0","0","0","0","0","0","IntonationOnly","No particle","No particle",4.92183,36.7986
"98","arch1244","1","1","0","0","0","0","1","0","0","MultipleStrategies","No particle","No particle",42.3239,46.8267
"99","area1240","1","0","1","0","0","0","0","0","0","MultipleStrategies","Particle","Initial",-9.20699,161.158
"100","aree1239","0","0","0","0","0","0","0","0","0","NoQuestionMarking","No particle","No particle",-9.67147,149.999
"101","argo1244","0","0","0","0","0","0","1","0","0","MorphOnly","No particle","No particle",10.6596,39.756
"102","arhu1242","0","0","0","1","0","0","1","0","0","MultipleStrategies","Particle","Final",10.7018,-73.6363
"103","arib1241","?","?","?","?","?","?","?","?","?","UnknownQuestionMarking","No particle","No particle",-6.72266,146.991
"104","arig1246","0","0","0","0","1","0","0","0","0","ParticleOnly","Particle","Other",7.56324,5.89556
"105","arik1265","1","?","0","0","0","0","?","0","?","IntonationOnly","No particle","No particle",-12.4878,-62.7261
"106","arom1237","?","?","?","?","?","?","?","0","?","UnknownQuestionMarking","No particle","No particle",40.616,21.2
"107","arop1242","1","0","0","0","0","0","0","0","0","IntonationOnly","No particle","No particle",-3.06984,142.12
"108","arop1243","1","0","0","1","0","0","0","0","0","MultipleStrategies","Particle","Final",-5.31671,147.103
"109","aros1241","1","0","0","0","0","0","0","0","0","IntonationOnly","No particle","No particle",-10.2441,161.432
"110","arta1239","1","0","0","0","0","0","0","0","0","IntonationOnly","No particle","No particle",16.4185,121.656
"111","ashe1272","1","0","0","0","0","0","0","0","0","IntonationOnly","No particle","No particle",-10.9777,-74.9153
"112","asoa1238","?","?","?","?","?","?","?","?","?","UnknownQuestionMarking","No particle","No particle",2.26818,26.7198
"113","assi1247","0","0","0","1","0","0","0","0","0","ParticleOnly","Particle","Final",49.2923,-106.068
"114","asur1254","?","0","0","?","0","?","?","?","0","UnknownQuestionMarking","No particle","No particle",21.5721,83.4562
"115","asut1235","?","?","?","?","?","?","?","?","?","UnknownQuestionMarking","No particle","No particle",-4.17978,37.8323
"116","atak1252","0","0","0","1","0","0","0","0","0","ParticleOnly","Particle","Final",30.9121,-93.0827
"117","atam1240","1","0","0","0","0","0","0","0","0","IntonationOnly","No particle","No particle",7.7789,125.499
"118","atay1247","0","0","0","1","0","0","0","0","0","ParticleOnly","Particle","Final",24.5209,121.388
"119","athp1241","0","0","0","0","0","0","1","0","0","MorphOnly","No particle","No particle",26.8794,87.3296
"120","atii1237","?","?","?","?","?","?","?","?","0","UnknownQuestionMarking","No particle","No particle",11.1539,122.512
"121","aton1241","0","0","0","0","1","0","1","0","1","MultipleStrategies","Particle","Other",25.346508,90.658722
"122","aulu1238","1","0","0","0","0","0","0","0","0","IntonationOnly","No particle","No particle",-16.3579,167.697
"123","auuu1241","?","?","?","?","?","?","0","0","?","UnknownQuestionMarking","No particle","No particle",-3.53277,142.105
"124","auye1238","1","0","0","1","0","0","0","0","1","MultipleStrategies","Particle","Final",-3.43705,136.096
"125","avac1239","?","?","?","?","?","?","?","?","?","UnknownQuestionMarking","No particle","No particle",-13.6081,-48.1336
"126","avat1244","?","0","0","1","0","0","0","?","?","ParticleOnly","Particle","Final",6.8688,0.41314
"127","avok1242","?","?","?","?","?","?","?","?","?","UnknownQuestionMarking","No particle","No particle",4.38639,29.9379
"128","awab1243","0","0","?","?","?","?","0","?","?","UnknownQuestionMarking","No particle","No particle",-33.12847,151.43555
"129","awac1239","0","0","0","1","0","0","1","0","0","MultipleStrategies","Particle","Final",1.21652,-78.3401
"130","awad1243","1","?","1","?","?","?","?","0","?","MultipleStrategies","Particle","Initial",27.5907,82.4663
"131","awad1244","1","0","0","1","0","0","0","0","0","MultipleStrategies","Particle","Final",-5.59896,146.355
"132","awap1236","0","?","0","0","0","0","1","0","0","MorphOnly","No particle","No particle",-6.65534,145.714
"133","awar1248","?","?","?","?","?","?","?","?","?","UnknownQuestionMarking","No particle","No particle",-6.16986,146.372
"134","awar1249","?","0","0","1","0","0","0","0","0","ParticleOnly","Particle","Final",-4.13554,144.836
"135","awet1244","?","?","?","?","?","0","0","0","?","UnknownQuestionMarking","No particle","No particle",-12.381944,-53.391944
